,0,1,2,3,4
163,0,0,640,159,0.438968559
164,0,0,59,62,0.478161871
165,0,0,0,0,0.478161871
166,0,0,192,429,0.46564235
167,0,0,356,202,0.487720667
168,0,0,3187,405,0.461115266
169,0,0,0,0,0.476524205
170,0,0,2120,164.7076474,0.476524205
171,0,0,783,329,0.487602257
172,0,0,3899,533,0.487602257
173,0,0,8817,229,0.485890541
174,4,0,94524,503.3738428,0.469356619
175,0,0,0,0,0.489755232
176,0,0,47,13,0.450508115
177,0,0,143,97,0.504478672
178,0,0,448,275,0.492578724
179,0,0,692,46,0.51756924
180,0,0,3590,1125,0.450508115
181,0,0,1618,626,0.487602257
182,0,0,4576,176,0.476715452
183,0,0,5643,2121,0.489755232
184,0,0,284607,2112,0.469926506
185,0,0,432,2498,0.485890541
186,0,0,1955,235,0.476715452
187,0,0,38845,1644,0.478211949
188,0,0,4955,12.32070466,0.456418375
189,0,0,8597,2343.4136,0.456418375
190,0,0,1240,365,0.453062853
191,0,0,637,106,0.504478672
192,0,0,10217,109.2465029,0.438968559
193,0,0,124,159,0.438968559
194,0,0,697,2235,0.450508115
195,0,0,303184,1124,0.473699895
196,0,0,221,26,0.487720667
197,0,0,459,213,0.443323077
198,0,0,0,0,0.504478672
199,0,0,219,112,0.478161871
200,0,0,6578,833,0.487602257
201,0,0,22089,804,0.450508115
202,0,0,24687,556,0.504478672
203,0,0,0,0,0.51756924
204,1,0,1250,495,0.469356619
205,0,0,1693,119,0.468336423
206,0,0,262,67,0.468414528
207,0,0,286,16,0.504478672
208,0,0,7602,410,0.504478672
209,0,0,0,0,0.478211949
210,0,0,49486,1907,0.438968559
211,0,0,7784,192,0.492578724
212,0,0,2254,238,0.504478672
213,0,0,8676,473,0.486962374
214,0,0,215,196,0.475722733
215,0,0,8736,423,0.438968559
216,0,0,554,421,0.478161871
217,8,0,155266,417.1718408,0.450508115
218,0,0,8269,1923,0.487602257
219,0,0,479,10,0.475587014
220,0,0,20094,1473,0.475722733
221,0,0,132,3,0.478211949
222,0,0,1255,257,0.478161871
223,0,0,199,182,0.468336423
224,0,0,10661,2222,0.438968559
225,0,0,224,64,0.478211949
226,0,0,1320,243,0.468414528
227,0,0,0,0,0.584624129
228,0,0,2314,342,0.504478672
229,0,0,310,135,0.443323077
230,0,0,178,61,0.469356619
231,0,0,412,265,0.472592442
232,0,0,481,520,0.453062853
233,0,0,306,129,0.469356619
234,0,0,442,164,0.468336423
235,0,0,719,133,0.438968559
236,0,0,23806,393,0.443323077
237,0,0,37156,1042,0.461115266
238,0,0,3735,818,0.46564235
239,0,0,190,257,0.472592442
240,0,0,9696,374,0.472592442
241,1,0,9881,259.4954567,0.436901926
242,0,0,1575,605,0.475722733
