,node_from,node_to
697,22707,3478
698,458,8085
699,458,19368
700,458,18772
701,18967,31018
702,18967,6252
703,18967,7701
704,27360,12941
705,27360,21137
706,27360,19065
707,27360,7614
708,8645,13583
709,8645,20450
710,8645,87
711,25734,29083
712,25734,23728
713,25734,8599
714,25734,16324
715,5522,25734
716,5522,3399
717,5522,19222
718,5522,25076
719,5522,6433
720,6423,13836
721,6423,6779
722,6423,400
723,6423,4111
724,24184,12941
725,24184,29490
726,24184,18274
727,24184,20088
728,22688,5342
729,22688,26419
730,22688,1632
731,22688,30602
732,22688,29007
733,12910,27202
734,12910,9140
735,12910,29570
736,12910,8368
737,18044,29005
738,18044,29137
739,18044,9190
740,18044,2873
741,21465,29604
742,21465,3261
743,21465,21511
744,18386,22224
745,18386,12602
746,18386,896
747,18386,28585
748,18386,13873
749,6477,31018
750,6477,13872
751,6477,11014
752,6477,28241
753,2870,22224
754,2870,31816
755,2870,7933
756,30198,31018
757,30198,8144
758,30198,7701
759,1087,13836
760,1087,2660
761,1087,10965
762,1087,15720
763,1087,1538
764,13197,18371
765,13197,10411
766,13197,12380
767,13197,14833
768,13197,13420
769,31523,19393
770,31523,1888
771,31523,17979
772,31523,6542
773,21277,29083
774,21277,11971
775,21584,21277
776,21584,11088
777,21584,4134
778,21584,5872
779,21584,286
780,5043,18221
781,5043,18048
782,5043,30137
783,13696,11120
784,13696,7769
785,13696,8213
786,13696,28040
787,13696,32137
788,9215,12941
789,9215,7975
790,9215,29513
791,9215,16669
792,9215,17443
793,4749,8629
794,4749,1085
795,4749,23743
796,6071,13836
797,6071,801
798,6071,12534
799,6071,15489
800,1085,8629
801,1085,1336
802,1085,23743
803,12602,22224
804,12602,7933
805,1834,22224
806,1834,31738
807,1834,31253
808,1834,7933
809,1834,19316
810,23635,23602
811,23635,23640
812,23635,5023
813,23635,17656
814,13156,6971
815,13156,7739
816,13156,29246
817,13156,25131
818,13156,8224
819,22044,26131
820,22044,21035
821,22044,27829
822,22044,21302
823,1901,22224
824,1901,7739
825,1901,29246
826,1901,31816
827,1901,8224
828,29442,12941
829,29442,20088
830,29442,792
831,22361,18932
832,22361,3126
833,22361,9290
834,22361,29707
835,12931,22224
836,12931,12718
837,12931,3063
838,12931,25929
839,24904,18932
840,24904,27449
841,24904,9129
842,24904,21090
843,24904,23189
844,10590,13583
845,10590,26137
846,10590,23870
847,10590,17708
848,801,13836
849,801,12534
850,801,15489
851,801,24933
852,24756,13583
853,24756,11088
854,24756,3478
855,24756,286
856,19417,6971
857,19417,2659
858,19417,17433
859,19417,28858
860,1888,28969
861,1888,17979
862,1888,6542
863,1888,17574
864,26992,16554
865,26992,6389
866,26992,13665
867,26992,9954
868,12368,5342
869,12368,10004
870,12368,12331
871,12368,30147
872,12368,24022
873,2660,13836
874,2660,15489
875,2660,8390
876,2660,1538
877,23640,23602
878,23640,21052
879,23640,17656
880,11192,13836
881,11192,2317
882,11192,17094
883,11192,22827
884,11192,20823
885,870,22815
886,870,23285
887,870,22906
888,870,14625
889,26137,13583
890,26137,20450
891,26137,23870
892,26137,17708
893,5817,26131
894,5817,21043
895,5817,27829
896,5817,5950
897,29490,12941
898,29490,18274
899,29490,29593
900,6358,22815
901,6358,1123
902,6358,6252
903,7739,22224
904,7739,29246
905,7739,8224
906,6131,13045
907,6131,5860
908,6131,3261
909,21137,12941
910,21137,32039
911,26960,28969
912,26960,5729
913,26960,30442
914,28932,13836
915,28932,10799
916,28932,6388
917,28932,29167
918,28932,5359
919,30874,23602
920,30874,18514
921,30874,13061
922,11571,22224
923,11571,9169
924,11571,32033
925,11571,1668
926,18048,18221
927,18048,8488
928,4517,29083
929,4517,15986
930,4517,16324
931,19866,4517
932,19866,3399
933,19866,24420
934,19866,6433
935,15,22224
936,15,7321
937,15,18466
938,15,15181
939,10004,5342
940,10004,12331
941,10004,30147
942,10004,24022
943,22813,13583
944,22813,22735
945,22813,12956
946,22813,26335
947,22813,8969
948,25449,11120
949,25449,20520
950,25449,26700
951,25449,31868
952,11088,13583
953,1565,13836
954,1565,11155
955,1565,8150
956,1565,8390
957,1565,28162
958,21043,26131
959,21043,26542
960,21043,30137
961,21043,5950
962,31652,22224
963,31652,18721
964,23809,13836
965,23809,10799
966,23809,7843
967,23809,24004
968,23809,24372
969,10411,18371
970,10411,12380
971,10411,13420
972,10411,7343
973,2565,12941
974,2565,10053
975,2565,27773
976,15935,5342
977,15935,26419
978,15935,1632
979,15935,30602
980,2308,12941
981,2308,25757
982,2308,5092
983,2308,19277
984,7321,22224
985,7321,24128
986,6287,31018
987,6287,13825
988,6287,28241
989,12380,18371
990,12380,14833
991,12380,13420
992,3381,12941
993,3381,7614
994,3381,205
995,3381,7649
996,2874,4796
997,2874,8408
998,2874,14688
999,2874,14108
1000,2874,28237
1001,5041,13836
1002,5041,14741
1003,5041,8390
1004,17251,588
1005,17251,27724
1006,17251,17172
1007,26542,18221
1008,26542,30137
1009,26542,5950
1010,6515,12941
1011,6515,27065
1012,6515,15223
1013,6515,29593
1014,6515,16863
1015,29036,18932
1016,29036,17203
1017,29036,14323
1018,29036,32039
1019,7117,12941
1020,7117,30307
1021,7117,13231
1022,7117,18536
1023,3643,4796
1024,3643,21239
1025,3643,11614
1026,3643,13192
1027,3643,8155
1028,27065,12941
1029,27065,15223
1030,27065,15281
1031,23158,22224
1032,23158,2877
1033,23158,13502
1034,23158,3160
1035,19691,6507
1036,19691,669
1037,19691,2001
1038,19691,28047
1039,22232,8085
1040,22232,29895
1041,22232,8408
1042,22232,3625
1043,18595,11120
1044,18595,30109
1045,18595,8213
1046,18595,10902
1047,18595,1895
1048,8775,5342
1049,8775,12331
1050,8775,30147
1051,8775,22085
1052,8775,18005
1053,10799,12941
1054,10799,10053
1055,10799,24004
1056,6779,13836
1057,6779,18721
1058,6779,4111
1059,19515,13836
1060,19515,13231
1061,19515,24414
1062,19515,8851
1063,19515,28402
1064,31554,22101
1065,31554,20181
1066,31554,31687
1067,31554,3229
1068,31554,8542
1069,26104,31018
1070,26104,13761
1071,26104,23285
1072,26104,22906
1073,26104,14625
1074,29858,22101
1075,29858,10565
1076,29858,23754
1077,29858,24579
1078,10965,13836
1079,10965,12843
1080,10965,4553
1081,10965,15720
1082,10965,1538
1083,21700,23602
1084,21700,19425
1085,21700,1158
1086,21700,26494
1087,606,22224
1088,606,11281
1089,606,15181
1090,606,12956
1091,29720,26307
1092,29720,25759
1093,29720,223
1094,6255,21715
1095,6255,12496
1096,6255,26715
1097,6255,9385
1098,19425,23602
1099,19425,1158
1100,19425,26494
1101,30743,22224
1102,30743,3922
1103,30743,23309
1104,6389,16554
